epoch	loss	acc	val_loss	val_acc
0	2.632260	0.254545	2.233037	0.183099
1	2.485693	0.172727	2.328367	0.169014
2	2.369535	0.277273	1.716245	0.352113
3	2.004251	0.363636	1.439233	0.464789
4	1.719140	0.427273	1.117838	0.507042
5	1.538240	0.468182	1.357414	0.563380
6	1.257877	0.531818	1.045174	0.563380
7	1.142322	0.600000	1.108685	0.647887
8	1.007513	0.645455	0.785448	0.661972
9	1.009138	0.636364	0.785564	0.718310
10	1.003316	0.631818	0.721108	0.704225
11	0.970640	0.609091	0.757534	0.760563
12	0.830421	0.700000	0.870748	0.676056
13	0.861996	0.695455	0.872797	0.704225
14	0.736296	0.750000	0.714632	0.690141
15	0.777611	0.704545	0.722275	0.746479
16	0.682997	0.740909	0.585221	0.788732
17	0.681940	0.736364	0.479213	0.816901
18	0.598365	0.781818	0.570527	0.830986
19	0.679141	0.768182	0.369844	0.859155
20	0.670012	0.768182	0.402424	0.845070
21	0.484833	0.831818	0.534944	0.774648
22	0.557508	0.804545	0.360858	0.873239
23	0.579984	0.831818	0.398676	0.830986
24	0.565523	0.781818	0.429589	0.816901
25	0.557160	0.822727	0.290770	0.915493
26	0.536062	0.795455	0.421657	0.873239
27	0.456267	0.800000	0.400189	0.887324
28	0.370135	0.850000	0.372464	0.873239
29	0.456294	0.831818	0.351972	0.845070
30	0.409219	0.854545	0.437782	0.859155
31	0.442522	0.831818	0.442784	0.873239
32	0.469984	0.827273	0.326441	0.873239
33	0.442476	0.868182	0.295946	0.929577
34	0.352863	0.886364	0.285999	0.887324
35	0.377559	0.859091	0.445829	0.845070
36	0.316198	0.900000	0.351556	0.887324
37	0.467165	0.809091	0.409663	0.859155
38	0.450029	0.831818	0.331358	0.873239
39	0.303473	0.895455	0.342149	0.859155
40	0.301496	0.886364	0.291778	0.901408
41	0.311058	0.904545	0.343419	0.873239
42	0.399374	0.859091	0.329966	0.887324
43	0.337724	0.877273	0.475336	0.859155
44	0.326283	0.895455	0.206728	0.929577
45	0.332273	0.868182	0.300268	0.915493
46	0.392066	0.863636	0.291500	0.901408
47	0.306782	0.877273	0.252922	0.929577
48	0.327302	0.877273	0.200397	0.943662
49	0.289319	0.909091	0.221416	0.957746
50	0.274035	0.900000	0.284784	0.929577
51	0.325533	0.877273	0.333708	0.859155
52	0.219352	0.927273	0.229958	0.929577
53	0.370867	0.859091	0.160961	0.971831
54	0.257675	0.909091	0.267379	0.929577
55	0.325875	0.872727	0.313189	0.901408
56	0.283892	0.904545	0.201978	0.957746
57	0.252538	0.918182	0.220923	0.915493
58	0.242104	0.922727	0.251858	0.901408
59	0.299497	0.890909	0.280905	0.901408
60	0.339255	0.881818	0.256892	0.887324
61	0.310828	0.859091	0.192962	0.943662
62	0.261108	0.895455	0.204814	0.929577
63	0.222924	0.913636	0.223828	0.929577
64	0.278011	0.900000	0.234099	0.915493
65	0.262150	0.913636	0.190589	0.957746
66	0.324959	0.872727	0.264439	0.873239
67	0.286493	0.895455	0.260615	0.901408
68	0.245113	0.900000	0.269758	0.887324
69	0.221257	0.936364	0.195189	0.943662
70	0.238687	0.909091	0.220569	0.915493
71	0.206844	0.922727	0.138416	0.957746
72	0.247304	0.918182	0.203454	0.957746
73	0.184654	0.940909	0.304339	0.873239
74	0.269195	0.918182	0.168913	0.957746
75	0.276294	0.881818	0.183363	0.943662
76	0.191441	0.936364	0.200966	0.915493
77	0.202429	0.927273	0.137437	0.943662
78	0.223900	0.927273	0.146091	0.985915
79	0.372807	0.868182	0.079315	1.000000
80	0.239163	0.931818	0.139194	0.957746
81	0.194365	0.945455	0.172648	0.957746
82	0.224773	0.918182	0.241099	0.943662
83	0.259304	0.900000	0.102806	0.985915
84	0.199868	0.931818	0.134999	0.985915
85	0.208234	0.918182	0.133040	0.971831
86	0.236299	0.913636	0.147123	0.943662
87	0.232582	0.918182	0.128522	0.971831
88	0.210694	0.927273	0.163299	0.971831
89	0.138208	0.968182	0.114014	0.957746
90	0.183777	0.931818	0.182575	0.943662
91	0.256121	0.886364	0.215439	0.943662
92	0.236708	0.918182	0.138776	0.971831
93	0.234542	0.895455	0.210842	0.929577
94	0.181614	0.936364	0.237871	0.915493
95	0.178561	0.950000	0.122238	0.985915
96	0.185109	0.922727	0.123913	0.957746
97	0.205390	0.918182	0.166492	0.943662
98	0.199755	0.922727	0.196830	0.929577
99	0.120670	0.972727	0.137298	0.971831
